m;b;a;n;k;3;.;j;p;g
;;;;;;;;;
0.3031308568822287;0.001160941861293419;0.00028498376383547343;0.00043367474807427955;0.022681843633215192;27.96013377055607;195.44227011684748;;;N
;;;;;;;;;
0.2774701706893818;0.00820162165303368;0.00044805907056259846;1.1925477475969463e-05;0.017197018492340243;36.19618062078487;327.54087288312064;;;B
;;;;;;;;;
0.27647793768014095;0.0072790916581275365;0.0020016419362424045;0.00011189424754516944;0.017290239591434088;28.05106127486678;196.71550966158264;;;A
;;;;;;;;;
0.35796476982437025;0.025991382564845025;0.0006044302243419923;0.00027522151845408774;0.02553684846764234;38.39806496170502;368.6028482008296;;;M
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
0.4;0.16;0.0;0.0;0.0;2.5231325220201604;1.5915494309189535;;;
m;b;a;n;k;1;.;j;p;g
;;;;;;;;;
0.5822296937143792;0.308144777665837;0.04876423049900577;0.03863306739880156;0.00771165964422568;6.076507779746499;9.23098669932993;;;
;;;;;;;;;
0.27068462064845644;0.017759878599364617;0.0025261442172487404;0.00014013475137670715;0.013877571314058536;33.32063749403756;277.56622075226545;;;
;;;;;;;;;
0.14814814814814814;0.0;0.0;0.0;0.0054869684499314125;3.385137501286538;2.864788975654116;;;
;;;;;;;;;
0.2908898387170618;0.04519555457598898;0.001269942492681938;0.0005809800974552715;0.009855335923212315;63.0984948821036;995.3550140967135;;;
;;;;;;;;;
0.23073296287329478;0.0005110902623816555;7.996617230775133e-05;8.405990455756705e-05;0.013181652473476893;31.35188875547286;245.7352321338864;;;
;;;;;;;;;
1.0513013180843769;1.0516366079450374;0.4233806014547217;0.38132488879280907;0.013399463365227626;26.939683377854365;181.4366351247607;;;
;;;;;;;;;
0.2883057985098801;0.045804799776359255;0.007648129933704081;0.0051319373029023035;0.009328858419515083;5.170882945826411;6.684507609859605;;;
;;;;;;;;;
0.2716049382716049;0.04938271604938271;0.0;0.0;0.006096631611034903;5.863230142835039;8.594366926962348;;;
;;;;;;;;;
1.5297708489857254;2.3148932018852313;0.16210913052014914;0.1386935203220352;0.006326412130318974;5.292567428401227;7.002817496043395;;;
